,Unnamed: 0,Period,State,Pesticide,Varroa,Otherpest,Diseases,Other Factors,Lost Colonies
98,98,3,33,3100.0,56000.0,20800.0,5200.0,4800.0,8500.0
479,479,2,21,6960.0,14964.0,10788.0,8352.0,9280.0,8500.0
228,228,3,25,4794.0,9588.0,752.0,47.0,752.0,8500.0
289,289,1,10,20988.0,73458.0,41877.0,41877.0,1683.0,8500.0
600,625,3,28,5658.0,21183.0,7935.0,828.0,1725.0,8500.0
150,150,1,10,5782.0,12152.0,6272.0,294.0,5292.0,8500.0
605,630,3,33,17818.0,41772.0,15104.0,23364.0,19588.0,8000.0
304,304,1,33,8190.0,25830.0,7650.0,9090.0,13860.0,8000.0
104,104,3,39,12096.0,14436.0,9000.0,14976.0,1296.0,8000.0
502,502,3,2,1178.0,16275.0,713.0,1395.0,4650.0,8000.0
11,11,1,16,867.0,8772.0,2397.0,2193.0,1581.0,8000.0
30,30,1,44,2465.0,5452.0,464.0,783.0,2407.0,8000.0
518,518,3,20,20944.0,81312.0,12144.0,968.0,17160.0,8000.0
281,281,4,44,6254.0,40887.0,7198.0,5900.0,6254.0,7500.0
478,478,2,20,8190.0,52780.0,13020.0,7560.0,8890.0,7500.0
159,159,1,22,1600.0,10100.0,3500.0,200.0,150.0,7500.0
391,391,4,3,7750.0,9375.0,7300.0,6650.0,6025.0,7500.0
497,497,2,42,9272.0,68198.0,11468.0,9272.0,8662.0,7500.0
236,236,3,33,10752.0,59248.0,20720.0,14000.0,5712.0,7500.0
327,327,2,20,2100.0,19100.0,7200.0,200.0,900.0,7500.0
642,667,4,36,10584.0,23058.0,11529.0,6048.0,21168.0,7500.0
430,430,1,3,5060.0,4642.0,2112.0,220.0,1012.0,7500.0
534,534,3,38,7688.0,23312.0,5456.0,496.0,3472.0,7500.0
410,410,4,25,882.0,11172.0,1386.0,1722.0,1806.0,7500.0
186,186,2,20,16995.0,55723.0,9579.0,1133.0,12154.0,7500.0
627,652,4,13,8064.0,19520.0,5696.0,1792.0,6304.0,7500.0
444,444,1,20,2738.0,7918.0,1295.0,259.0,4440.0,7000.0
393,393,4,5,6800.0,10268.0,238.0,68.0,5270.0,7000.0
87,87,3,20,12193.0,39694.0,14507.0,6497.0,1602.0,7000.0
618,643,4,2,8388.0,19404.0,540.0,144.0,1440.0,7000.0
190,190,2,24,6123.0,47571.0,11147.0,7065.0,10833.0,7000.0
406,406,4,21,39004.0,61642.0,3920.0,4116.0,7056.0,7000.0
247,247,3,45,1040.0,15440.0,1240.0,200.0,1360.0,7000.0
346,346,2,42,8325.0,23643.0,5550.0,4662.0,3996.0,7000.0
20,20,1,29,5954.0,9230.0,598.0,26.0,1612.0,7000.0
419,419,4,36,4884.0,19203.0,111.0,4551.0,8325.0,6500.0
522,522,3,25,3510.0,13014.0,1728.0,3186.0,2322.0,6500.0
685,710,2,21,11088.0,25956.0,3654.0,882.0,5544.0,6500.0
39,39,2,10,4320.0,18360.0,4824.0,4680.0,9864.0,6500.0
249,249,4,2,2015.0,30628.0,4805.0,713.0,1333.0,6500.0
23,23,1,34,399.0,5901.0,1323.0,399.0,3738.0,6500.0
615,640,3,44,11403.0,29232.0,12915.0,8757.0,4095.0,6500.0
212,212,3,5,9102.0,18241.0,8288.0,6216.0,3922.0,6500.0
143,143,4,44,10512.0,23712.0,7488.0,1200.0,3168.0,6500.0
372,372,3,28,5546.0,26609.0,11682.0,3658.0,8024.0,6500.0
141,141,4,42,267.0,6141.0,89.0,89.0,2670.0,6500.0
22,22,1,33,522.0,17574.0,1740.0,348.0,1392.0,6500.0
19,19,1,28,1320.0,2280.0,780.0,150.0,3720.0,6500.0
383,383,3,39,5845.0,14175.0,35.0,175.0,5565.0,6500.0
499,499,2,44,15176.0,17976.0,9464.0,10248.0,16520.0,6500.0
631,656,4,20,6972.0,31080.0,8148.0,7728.0,924.0,6500.0
93,93,3,28,8037.0,18800.0,6721.0,2679.0,4136.0,6500.0
390,390,4,2,480.0,18480.0,1260.0,690.0,1230.0,6500.0
399,399,4,13,14670.0,27450.0,11475.0,5535.0,8055.0,6500.0
468,468,2,10,17390.0,48504.0,3478.0,2820.0,3854.0,6500.0
91,91,3,25,10164.0,25564.0,7931.0,8393.0,3542.0,6000.0
555,555,4,20,11627.0,21868.0,4004.0,3234.0,1848.0,6000.0
429,429,1,2,3978.0,9438.0,1118.0,1196.0,2054.0,6000.0
301,301,1,28,1452.0,6732.0,3102.0,3234.0,4356.0,6000.0
284,284,1,2,544.0,11392.0,640.0,1216.0,2080.0,6000.0
206,206,2,42,4433.0,58487.0,16302.0,4719.0,15873.0,6000.0
543,543,4,3,22785.0,13671.0,5146.0,3038.0,1643.0,6000.0
659,684,1,20,130.0,9035.0,325.0,1170.0,260.0,6000.0
209,209,3,2,4320.0,13344.0,320.0,288.0,4288.0,6000.0
179,179,2,10,2480.0,16960.0,3840.0,2160.0,4320.0,6000.0
191,191,2,25,1634.0,2623.0,43.0,430.0,473.0,6000.0
71,71,3,2,6920.0,21400.0,9920.0,2160.0,3040.0,6000.0
559,559,4,24,17850.0,3060.0,714.0,714.0,2958.0,5500.0
417,417,4,34,1656.0,10728.0,1296.0,240.0,696.0,5500.0
388,388,3,45,1584.0,7848.0,576.0,3348.0,2016.0,5500.0
207,207,2,44,9828.0,18252.0,2886.0,9984.0,11622.0,5500.0
218,218,3,13,8350.0,16300.0,1700.0,400.0,1200.0,5500.0
481,481,2,24,2992.0,75504.0,8272.0,5808.0,1584.0,5500.0
31,31,2,2,6633.0,2772.0,10593.0,165.0,9306.0,5500.0
59,59,2,33,15200.0,37335.0,19855.0,12540.0,5510.0,5500.0
661,686,1,31,20.0,7140.0,1420.0,960.0,600.0,5500.0
505,505,3,5,1015.0,25410.0,5810.0,1960.0,2975.0,5000.0
338,338,2,33,3220.0,34224.0,9752.0,8096.0,14536.0,5000.0
158,158,1,20,210.0,5082.0,2940.0,84.0,546.0,5000.0
145,145,1,3,135.0,10287.0,4104.0,2430.0,513.0,5000.0
413,413,4,29,345.0,14766.0,3749.0,897.0,2691.0,5000.0
244,244,3,42,14134.0,48248.0,1036.0,666.0,3182.0,5000.0
560,560,4,25,135.0,6300.0,1440.0,45.0,1305.0,5000.0
67,67,2,42,2540.0,61849.0,254.0,2794.0,4064.0,5000.0
432,432,1,5,105.0,6657.0,168.0,798.0,2877.0,4900.0
690,715,2,28,112.0,11872.0,1456.0,336.0,2016.0,4900.0
657,682,1,16,576.0,8352.0,1248.0,960.0,672.0,4800.0
204,204,2,39,1825.0,5750.0,25.0,450.0,850.0,4800.0
451,451,1,33,5963.0,32040.0,623.0,1068.0,3293.0,4800.0
258,258,4,13,4860.0,10098.0,5292.0,4806.0,6156.0,4700.0
25,25,1,36,485.0,1164.0,873.0,291.0,1164.0,4600.0
69,69,2,44,5330.0,22945.0,3640.0,650.0,9880.0,4600.0
696,721,2,36,820.0,109470.0,64370.0,9840.0,76875.0,4600.0
460,460,1,44,435.0,4089.0,1073.0,348.0,1044.0,4600.0
458,458,1,42,1710.0,7650.0,810.0,900.0,360.0,4600.0
609,634,3,37,1274.0,7196.0,3262.0,28.0,1610.0,4500.0
449,449,1,31,448.0,5544.0,1400.0,910.0,2212.0,4500.0
74,74,3,5,4950.0,15150.0,450.0,810.0,1110.0,4500.0
315,315,2,5,992.0,9703.0,248.0,1643.0,1426.0,4500.0
251,251,4,5,930.0,9720.0,390.0,30.0,3900.0,4500.0
535,535,3,39,60.0,10200.0,4650.0,30.0,300.0,4400.0
311,311,1,44,440.0,4180.0,418.0,242.0,880.0,4400.0
303,303,1,31,17.5,4515.0,2030.0,105.0,910.0,4400.0
562,562,4,28,1272.0,28090.0,5512.0,2014.0,4134.0,4400.0
644,669,4,39,3296.0,7072.0,640.0,640.0,64.0,4400.0
198,198,2,33,3432.0,69564.0,19140.0,13068.0,22044.0,4300.0
471,471,2,13,3713.0,5969.0,4371.0,423.0,3948.0,4300.0
121,121,4,13,2240.0,18690.0,315.0,210.0,8680.0,4300.0
267,267,4,25,444.0,3885.0,518.0,74.0,148.0,4300.0
352,352,3,5,3822.0,22218.0,588.0,1092.0,3276.0,4300.0
6,6,1,12,42.0,1291.5,724.5,73.5,1323.0,4200.0
448,448,1,29,55.5,5494.5,1887.0,55.5,2479.0,4200.0
53,53,2,24,11130.0,18900.0,1890.0,1680.0,3360.0,4200.0
550,550,4,13,6636.0,13020.0,6573.0,5460.0,6174.0,4200.0
163,163,1,28,2508.0,3135.0,825.0,627.0,3135.0,4200.0
