2022-10-16 21:16:43.940029
Start Threshold: 0.02
Train Epoch: 1 [3500/60000 (6%)]	AE_Loss: 0.047763	CNN_Loss: 0.000000	Ask_rate: 0.117395	threshold: 2.249100	unq CNN/CNN: 1.171836
Train Epoch: 1 [3600/60000 (6%)]	AE_Loss: 0.043040	CNN_Loss: 0.000000	Ask_rate: 0.114135	threshold: 2.399100	unq CNN/CNN: 1.103388
Train Epoch: 1 [3700/60000 (6%)]	AE_Loss: 0.077849	CNN_Loss: 0.000000	Ask_rate: 0.111051	threshold: 2.549100	unq CNN/CNN: 1.042494
Train Epoch: 1 [3800/60000 (6%)]	AE_Loss: 0.013402	CNN_Loss: 0.000000	Ask_rate: 0.108129	threshold: 2.699100	unq CNN/CNN: 0.987971
Train Epoch: 1 [3900/60000 (6%)]	AE_Loss: 0.023323	CNN_Loss: 0.000000	Ask_rate: 0.105358	threshold: 2.849100	unq CNN/CNN: 0.938867
Train Epoch: 1 [4000/60000 (7%)]	AE_Loss: 0.035858	CNN_Loss: 0.000000	Ask_rate: 0.102724	threshold: 2.999100	unq CNN/CNN: 0.894413
Train Epoch: 1 [4100/60000 (7%)]	AE_Loss: 0.060706	CNN_Loss: 0.000000	Ask_rate: 0.100219	threshold: 3.149100	unq CNN/CNN: 0.853978
Train Epoch: 1 [4200/60000 (7%)]	AE_Loss: 0.048978	CNN_Loss: 0.000000	Ask_rate: 0.097834	threshold: 3.299100	unq CNN/CNN: 0.817042
Train Epoch: 1 [4300/60000 (7%)]	AE_Loss: 0.024442	CNN_Loss: 0.000000	Ask_rate: 0.095559	threshold: 3.449100	unq CNN/CNN: 0.783167
Train Epoch: 1 [4400/60000 (7%)]	AE_Loss: 0.039207	CNN_Loss: 0.000000	Ask_rate: 0.093388	threshold: 3.599100	unq CNN/CNN: 0.751990
Train Epoch: 1 [4500/60000 (8%)]	AE_Loss: 0.075335	CNN_Loss: 0.000000	Ask_rate: 0.091313	threshold: 3.749100	unq CNN/CNN: 0.723201
Train Epoch: 1 [4600/60000 (8%)]	AE_Loss: 0.061508	CNN_Loss: 0.000000	Ask_rate: 0.089328	threshold: 3.899100	unq CNN/CNN: 0.696534
Train Epoch: 1 [4700/60000 (8%)]	AE_Loss: 0.045969	CNN_Loss: 0.000000	Ask_rate: 0.087428	threshold: 4.049100	unq CNN/CNN: 0.671764
Train Epoch: 1 [4800/60000 (8%)]	AE_Loss: 0.060781	CNN_Loss: 0.000000	Ask_rate: 0.085607	threshold: 4.199100	unq CNN/CNN: 0.648695
Train Epoch: 1 [4900/60000 (8%)]	AE_Loss: 0.026389	CNN_Loss: 0.000000	Ask_rate: 0.083860	threshold: 4.349100	unq CNN/CNN: 0.627158
Train Epoch: 1 [5000/60000 (8%)]	AE_Loss: 0.067568	CNN_Loss: 0.000000	Ask_rate: 0.082184	threshold: 4.499100	unq CNN/CNN: 0.607005
Train Epoch: 1 [5100/60000 (8%)]	AE_Loss: 0.042753	CNN_Loss: 0.000000	Ask_rate: 0.080572	threshold: 4.649100	unq CNN/CNN: 0.588107
Train Epoch: 1 [5200/60000 (9%)]	AE_Loss: 0.043528	CNN_Loss: 0.000000	Ask_rate: 0.079023	threshold: 4.799100	unq CNN/CNN: 0.570350
Train Epoch: 1 [5300/60000 (9%)]	AE_Loss: 0.031944	CNN_Loss: 0.000000	Ask_rate: 0.077533	threshold: 4.949100	unq CNN/CNN: 0.553634
Train Epoch: 1 [5400/60000 (9%)]	AE_Loss: 0.060250	CNN_Loss: 0.000000	Ask_rate: 0.076097	threshold: 5.099100	unq CNN/CNN: 0.537870
Train Epoch: 1 [5500/60000 (9%)]	AE_Loss: 0.019051	CNN_Loss: 0.000000	Ask_rate: 0.074714	threshold: 5.249100	unq CNN/CNN: 0.522979
Train Epoch: 1 [5600/60000 (9%)]	AE_Loss: 0.052073	CNN_Loss: 0.000000	Ask_rate: 0.073380	threshold: 5.399100	unq CNN/CNN: 0.508890
Train Epoch: 1 [5700/60000 (10%)]	AE_Loss: 0.052804	CNN_Loss: 0.000000	Ask_rate: 0.072093	threshold: 5.549100	unq CNN/CNN: 0.495540
Train Epoch: 1 [5800/60000 (10%)]	AE_Loss: 0.065203	CNN_Loss: 0.000000	Ask_rate: 0.070850	threshold: 5.699100	unq CNN/CNN: 0.482873
Train Epoch: 1 [5900/60000 (10%)]	AE_Loss: 0.068630	CNN_Loss: 0.000000	Ask_rate: 0.069649	threshold: 5.849100	unq CNN/CNN: 0.470837
Train Epoch: 1 [6000/60000 (10%)]	AE_Loss: 0.028167	CNN_Loss: 0.000000	Ask_rate: 0.068489	threshold: 5.999100	unq CNN/CNN: 0.459387
Train Epoch: 1 [6100/60000 (10%)]	AE_Loss: 0.054388	CNN_Loss: 0.000000	Ask_rate: 0.067366	threshold: 6.149100	unq CNN/CNN: 0.448481
Train Epoch: 1 [6200/60000 (10%)]	AE_Loss: 0.057521	CNN_Loss: 0.000000	Ask_rate: 0.066280	threshold: 6.299100	unq CNN/CNN: 0.438080
Train Epoch: 1 [6300/60000 (10%)]	AE_Loss: 0.030905	CNN_Loss: 0.000000	Ask_rate: 0.065228	threshold: 6.449100	unq CNN/CNN: 0.428150
Train Epoch: 1 [6400/60000 (11%)]	AE_Loss: 0.051825	CNN_Loss: 0.000000	Ask_rate: 0.064209	threshold: 6.599100	unq CNN/CNN: 0.418661
Train Epoch: 1 [6500/60000 (11%)]	AE_Loss: 0.048017	CNN_Loss: 0.000000	Ask_rate: 0.063221	threshold: 6.749100	unq CNN/CNN: 0.409584
Train Epoch: 1 [6600/60000 (11%)]	AE_Loss: 0.029593	CNN_Loss: 0.000000	Ask_rate: 0.062263	threshold: 6.899100	unq CNN/CNN: 0.400891
Train Epoch: 1 [6700/60000 (11%)]	AE_Loss: 0.079100	CNN_Loss: 0.000000	Ask_rate: 0.061334	threshold: 7.049100	unq CNN/CNN: 0.392560
Train Epoch: 1 [6800/60000 (11%)]	AE_Loss: 0.049778	CNN_Loss: 0.000000	Ask_rate: 0.060432	threshold: 7.199100	unq CNN/CNN: 0.384568
Train Epoch: 1 [6900/60000 (12%)]	AE_Loss: 0.011639	CNN_Loss: 0.000000	Ask_rate: 0.059557	threshold: 7.349100	unq CNN/CNN: 0.376895
Train Epoch: 1 [7000/60000 (12%)]	AE_Loss: 0.044681	CNN_Loss: 0.000000	Ask_rate: 0.058706	threshold: 7.499100	unq CNN/CNN: 0.369523
Train Epoch: 1 [7100/60000 (12%)]	AE_Loss: 0.045523	CNN_Loss: 0.000000	Ask_rate: 0.057879	threshold: 7.649100	unq CNN/CNN: 0.362433
Train Epoch: 1 [7200/60000 (12%)]	AE_Loss: 0.043267	CNN_Loss: 0.000000	Ask_rate: 0.057075	threshold: 7.799100	unq CNN/CNN: 0.355610
Train Epoch: 1 [7300/60000 (12%)]	AE_Loss: 0.092702	CNN_Loss: 0.000000	Ask_rate: 0.056294	threshold: 7.949100	unq CNN/CNN: 0.349039
Train Epoch: 1 [7400/60000 (12%)]	AE_Loss: 0.048246	CNN_Loss: 0.000000	Ask_rate: 0.055533	threshold: 8.099100	unq CNN/CNN: 0.342707
Train Epoch: 1 [7500/60000 (12%)]	AE_Loss: 0.032065	CNN_Loss: 0.000000	Ask_rate: 0.054793	threshold: 8.249100	unq CNN/CNN: 0.336600
Train Epoch: 1 [7600/60000 (13%)]	AE_Loss: 0.046773	CNN_Loss: 0.000000	Ask_rate: 0.054072	threshold: 8.399100	unq CNN/CNN: 0.330707
Train Epoch: 1 [7700/60000 (13%)]	AE_Loss: 0.054370	CNN_Loss: 0.000000	Ask_rate: 0.053370	threshold: 8.549100	unq CNN/CNN: 0.325017
Train Epoch: 1 [7800/60000 (13%)]	AE_Loss: 0.061326	CNN_Loss: 0.000000	Ask_rate: 0.052686	threshold: 8.699100	unq CNN/CNN: 0.319520
Train Epoch: 1 [7900/60000 (13%)]	AE_Loss: 0.049627	CNN_Loss: 0.000000	Ask_rate: 0.052019	threshold: 8.849100	unq CNN/CNN: 0.314205
Train Epoch: 1 [8000/60000 (13%)]	AE_Loss: 0.049005	CNN_Loss: 0.000000	Ask_rate: 0.051369	threshold: 8.999100	unq CNN/CNN: 0.309064
Train Epoch: 1 [8100/60000 (14%)]	AE_Loss: 0.040865	CNN_Loss: 0.000000	Ask_rate: 0.050734	threshold: 9.149100	unq CNN/CNN: 0.304089
Train Epoch: 1 [8200/60000 (14%)]	AE_Loss: 0.060963	CNN_Loss: 0.000000	Ask_rate: 0.050116	threshold: 9.299100	unq CNN/CNN: 0.299271
Train Epoch: 1 [8300/60000 (14%)]	AE_Loss: 0.049228	CNN_Loss: 0.000000	Ask_rate: 0.049512	threshold: 9.449100	unq CNN/CNN: 0.294604
Train Epoch: 1 [8400/60000 (14%)]	AE_Loss: 0.041328	CNN_Loss: 0.000000	Ask_rate: 0.048923	threshold: 9.599100	unq CNN/CNN: 0.290080
Train Epoch: 1 [8500/60000 (14%)]	AE_Loss: 0.054578	CNN_Loss: 0.000000	Ask_rate: 0.048347	threshold: 9.749100	unq CNN/CNN: 0.285693
Train Epoch: 1 [8600/60000 (14%)]	AE_Loss: 0.034013	CNN_Loss: 0.000000	Ask_rate: 0.047785	threshold: 9.899100	unq CNN/CNN: 0.281436
Train Epoch: 1 [8700/60000 (14%)]	AE_Loss: 0.068871	CNN_Loss: 0.000000	Ask_rate: 0.047236	threshold: 10.049100	unq CNN/CNN: 0.277305
Train Epoch: 1 [8800/60000 (15%)]	AE_Loss: 0.037910	CNN_Loss: 0.000000	Ask_rate: 0.046699	threshold: 10.199100	unq CNN/CNN: 0.273293
Train Epoch: 1 [8900/60000 (15%)]	AE_Loss: 0.045167	CNN_Loss: 0.000000	Ask_rate: 0.046175	threshold: 10.349100	unq CNN/CNN: 0.269395
Train Epoch: 1 [9000/60000 (15%)]	AE_Loss: 0.083530	CNN_Loss: 0.000000	Ask_rate: 0.045662	threshold: 10.499100	unq CNN/CNN: 0.265607
Train Epoch: 1 [9100/60000 (15%)]	AE_Loss: 0.077263	CNN_Loss: 0.000000	Ask_rate: 0.045160	threshold: 10.649100	unq CNN/CNN: 0.261925
Train Epoch: 1 [9200/60000 (15%)]	AE_Loss: 0.034748	CNN_Loss: 0.000000	Ask_rate: 0.044669	threshold: 10.799100	unq CNN/CNN: 0.258342
Train Epoch: 1 [9300/60000 (16%)]	AE_Loss: 0.054127	CNN_Loss: 0.000000	Ask_rate: 0.044189	threshold: 10.949100	unq CNN/CNN: 0.254857
Train Epoch: 1 [9400/60000 (16%)]	AE_Loss: 0.056817	CNN_Loss: 0.000000	Ask_rate: 0.043719	threshold: 11.099100	unq CNN/CNN: 0.251464
Train Epoch: 1 [9500/60000 (16%)]	AE_Loss: 0.048823	CNN_Loss: 0.000000	Ask_rate: 0.043259	threshold: 11.249100	unq CNN/CNN: 0.248161
Train Epoch: 1 [9600/60000 (16%)]	AE_Loss: 0.053828	CNN_Loss: 0.000000	Ask_rate: 0.042808	threshold: 11.399100	unq CNN/CNN: 0.244943
Train Epoch: 1 [9700/60000 (16%)]	AE_Loss: 0.036956	CNN_Loss: 0.000000	Ask_rate: 0.042367	threshold: 11.549100	unq CNN/CNN: 0.241807
Train Epoch: 1 [9800/60000 (16%)]	AE_Loss: 0.037186	CNN_Loss: 0.000000	Ask_rate: 0.041934	threshold: 11.699100	unq CNN/CNN: 0.238751
Train Epoch: 1 [9900/60000 (16%)]	AE_Loss: 0.046068	CNN_Loss: 0.000000	Ask_rate: 0.041511	threshold: 11.849100	unq CNN/CNN: 0.235771
Train Epoch: 1 [10000/60000 (17%)]	AE_Loss: 0.051425	CNN_Loss: 0.000000	Ask_rate: 0.041096	threshold: 11.999100	unq CNN/CNN: 0.232865
Train Epoch: 1 [10100/60000 (17%)]	AE_Loss: 0.059770	CNN_Loss: 0.000000	Ask_rate: 0.040689	threshold: 12.149100	unq CNN/CNN: 0.230029
Train Epoch: 1 [10200/60000 (17%)]	AE_Loss: 0.048565	CNN_Loss: 0.000000	Ask_rate: 0.040290	threshold: 12.299100	unq CNN/CNN: 0.227262
Train Epoch: 1 [10300/60000 (17%)]	AE_Loss: 0.044753	CNN_Loss: 0.000000	Ask_rate: 0.039899	threshold: 12.449100	unq CNN/CNN: 0.224560
Train Epoch: 1 [10400/60000 (17%)]	AE_Loss: 0.047913	CNN_Loss: 0.000000	Ask_rate: 0.039515	threshold: 12.599100	unq CNN/CNN: 0.221922
Train Epoch: 1 [10500/60000 (18%)]	AE_Loss: 0.025296	CNN_Loss: 0.000000	Ask_rate: 0.039139	threshold: 12.749100	unq CNN/CNN: 0.219345
Train Epoch: 1 [10600/60000 (18%)]	AE_Loss: 0.064764	CNN_Loss: 0.000000	Ask_rate: 0.038770	threshold: 12.899100	unq CNN/CNN: 0.216827
Train Epoch: 1 [10700/60000 (18%)]	AE_Loss: 0.051868	CNN_Loss: 0.000000	Ask_rate: 0.038408	threshold: 13.049100	unq CNN/CNN: 0.214367
Train Epoch: 1 [10800/60000 (18%)]	AE_Loss: 0.062578	CNN_Loss: 0.000000	Ask_rate: 0.038052	threshold: 13.199100	unq CNN/CNN: 0.211961
Train Epoch: 1 [10900/60000 (18%)]	AE_Loss: 0.044405	CNN_Loss: 0.000000	Ask_rate: 0.037703	threshold: 13.349100	unq CNN/CNN: 0.209609
Train Epoch: 1 [11000/60000 (18%)]	AE_Loss: 0.027869	CNN_Loss: 0.000000	Ask_rate: 0.037360	threshold: 13.499100	unq CNN/CNN: 0.207309
Train Epoch: 1 [11100/60000 (18%)]	AE_Loss: 0.040698	CNN_Loss: 0.000000	Ask_rate: 0.037024	threshold: 13.649100	unq CNN/CNN: 0.205059
Train Epoch: 1 [11200/60000 (19%)]	AE_Loss: 0.005367	CNN_Loss: 0.000000	Ask_rate: 0.036693	threshold: 13.799100	unq CNN/CNN: 0.202857
Train Epoch: 1 [11300/60000 (19%)]	AE_Loss: 0.085092	CNN_Loss: 0.000000	Ask_rate: 0.036368	threshold: 13.949100	unq CNN/CNN: 0.200701
Train Epoch: 1 [11400/60000 (19%)]	AE_Loss: 0.028697	CNN_Loss: 0.000000	Ask_rate: 0.036049	threshold: 14.099100	unq CNN/CNN: 0.198591
Train Epoch: 1 [11500/60000 (19%)]	AE_Loss: 0.059852	CNN_Loss: 0.000000	Ask_rate: 0.035736	threshold: 14.249100	unq CNN/CNN: 0.196525
Train Epoch: 1 [11600/60000 (19%)]	AE_Loss: 0.086140	CNN_Loss: 0.000000	Ask_rate: 0.035428	threshold: 14.399100	unq CNN/CNN: 0.194502
Train Epoch: 1 [11700/60000 (20%)]	AE_Loss: 0.041548	CNN_Loss: 0.000000	Ask_rate: 0.035125	threshold: 14.549100	unq CNN/CNN: 0.192519
Train Epoch: 1 [11800/60000 (20%)]	AE_Loss: 0.041567	CNN_Loss: 0.000000	Ask_rate: 0.034828	threshold: 14.699100	unq CNN/CNN: 0.190577
Train Epoch: 1 [11900/60000 (20%)]	AE_Loss: 0.028769	CNN_Loss: 0.000000	Ask_rate: 0.034535	threshold: 14.849100	unq CNN/CNN: 0.188674
Train Epoch: 1 [12000/60000 (20%)]	AE_Loss: 0.062289	CNN_Loss: 0.000000	Ask_rate: 0.034247	threshold: 14.999100	unq CNN/CNN: 0.186808
Train Epoch: 1 [12100/60000 (20%)]	AE_Loss: 0.036122	CNN_Loss: 0.000000	Ask_rate: 0.033964	threshold: 15.149100	unq CNN/CNN: 0.184978
Train Epoch: 1 [12200/60000 (20%)]	AE_Loss: 0.033437	CNN_Loss: 0.000000	Ask_rate: 0.033686	threshold: 15.299100	unq CNN/CNN: 0.183185
Train Epoch: 1 [12300/60000 (20%)]	AE_Loss: 0.045975	CNN_Loss: 0.000000	Ask_rate: 0.033412	threshold: 15.449100	unq CNN/CNN: 0.181425
Train Epoch: 1 [12400/60000 (21%)]	AE_Loss: 0.047487	CNN_Loss: 0.000000	Ask_rate: 0.033142	threshold: 15.599100	unq CNN/CNN: 0.179699
Train Epoch: 1 [12500/60000 (21%)]	AE_Loss: 0.058714	CNN_Loss: 0.000000	Ask_rate: 0.032877	threshold: 15.749100	unq CNN/CNN: 0.178006
Train Epoch: 1 [12600/60000 (21%)]	AE_Loss: 0.038655	CNN_Loss: 0.000000	Ask_rate: 0.032616	threshold: 15.899100	unq CNN/CNN: 0.176344
Train Epoch: 1 [12700/60000 (21%)]	AE_Loss: 0.057425	CNN_Loss: 0.000000	Ask_rate: 0.032360	threshold: 16.049100	unq CNN/CNN: 0.174713
Train Epoch: 1 [12800/60000 (21%)]	AE_Loss: 0.057231	CNN_Loss: 0.000000	Ask_rate: 0.032107	threshold: 16.199100	unq CNN/CNN: 0.173112
Train Epoch: 1 [12900/60000 (22%)]	AE_Loss: 0.029401	CNN_Loss: 0.000000	Ask_rate: 0.031858	threshold: 16.349100	unq CNN/CNN: 0.171540
Train Epoch: 1 [13000/60000 (22%)]	AE_Loss: 0.041150	CNN_Loss: 0.000000	Ask_rate: 0.031613	threshold: 16.499100	unq CNN/CNN: 0.169996
Train Epoch: 1 [13100/60000 (22%)]	AE_Loss: 0.040511	CNN_Loss: 0.000000	Ask_rate: 0.031372	threshold: 16.649100	unq CNN/CNN: 0.168480
