,Ask_rate,Accuracy,
659,53.68196371,91.58,1.70597336
660,52.50800427,92.09,1.753827846
661,51.65421558,92.78,1.796174793
662,30.62966916,89.98,2.937674564
663,55.17609392,92.4,1.674638298
664,45.57097118,91.99,2.018609602
665,29.34898613,69.77,2.377254182
666,26.25400213,76.95,2.930981707
667,19.95731057,56.75,2.843569519
668,39.27427962,90.54,2.305325543
669,60.40554963,91.13,1.508636219
670,47.91889007,92.3,1.926171492
671,46.74493063,92.94,1.988236986
672,56.88367129,91.79,1.61364409
673,27.96157951,78.07,2.79204542
674,36.17929562,73.29,2.025744248
675,42.26254002,90.02,2.130018687
676,42.90288154,90.24,2.103355224
677,31.37673426,88.59,2.823429592
678,27.10779082,81.54,3.007991339
679,55.17609392,90.55,1.641109284
680,47.27854856,91.75,1.940626411
681,60.83244397,90.12,1.481446316
682,58.16435432,94.31,1.621439817
683,31.59018143,89.76,2.841389189
684,29.66915688,90.29,3.043227698
685,34.79188901,90.81,2.610091104
686,45.03735326,89.97,1.997675118
687,28.06830309,78.63,2.801380608
688,61.79295624,93.45,1.51230829
689,54.5357524,91.5,1.677798434
690,27.96157951,90.98,3.253750382
691,58.05763074,93.01,1.60202886
692,56.13660619,93.35,1.662907795
693,32.01707577,89.52,2.796008
694,57.52401281,91.83,1.596376809
695,59.65848453,92.31,1.547307156
696,25.29348986,79.98,3.162078481
697,56.35005336,91.95,1.631764205
698,46.2113127,92.69,2.005785912
699,59.55176094,94.5,1.586854839
700,30.52294557,88.85,2.910924825
701,53.0416222,93.04,1.754094165
702,55.92315902,90.5,1.618291985
703,57.31056564,93.25,1.627099628
704,50.80042689,92.02,1.811402101
705,55.06937033,92.29,1.67588624
706,27.42796158,56.19,2.0486393
707,29.24226254,86.56,2.96009927
708,55.60298826,92.77,1.668435509
709,43.32977588,90.12,2.079863054
710,55.49626467,93.4,1.682996154
711,32.97758805,89.16,2.703654369
712,32.87086446,89.07,2.709694481
713,56.45677695,93.36,1.653654442
714,29.88260406,80,2.677142857
715,46.74493063,92.24,1.9732621
716,51.65421558,92.73,1.795206818
717,57.63073639,91.86,1.593941111
718,26.36072572,90.17,3.420619028
719,55.81643543,90.57,1.622640344
720,40.34151547,89.59,2.220789153
721,57.84418356,92.45,1.598259225
722,44.18356457,79.63,1.802253865
723,54.10885806,91.44,1.689926627
724,31.0565635,89.85,2.893108247
725,29.98932764,91.16,3.039748043
726,57.31056564,91.29,1.5929
727,30.73639274,49.79,1.619903819
728,55.06937033,92.17,1.673707171
729,25.82710779,89.87,3.479677273
730,46.53148346,91.83,1.973502523
731,27.53468517,79.36,2.882182946
732,26.68089648,88.56,3.3192288
733,47.7054429,92.8,1.945270694
734,59.55176094,92.09,1.546385842
735,44.61045891,92.8,2.080229665
736,30.41622199,88.58,2.912261754
737,31.27001067,81.33,2.600894539
738,28.60192102,91.03,3.182653358
739,58.37780149,91.36,1.564978428
740,44.29028815,92.07,2.078785301
741,56.0298826,92.61,1.652868
742,31.69690502,19.52,0.615832997
743,49.62646745,92.16,1.857073548
744,55.49626467,92.96,1.675067692
745,54.10885806,92.97,1.718202959
746,51.97438634,91.75,1.765292608
747,28.06830309,89.18,3.17724943
748,49.09284952,92.56,1.885406957
749,59.01814301,91.71,1.553928933
750,42.36926361,91.48,2.159112343
751,51.33404482,92.87,1.809130769
752,53.7886873,91.25,1.696453373
753,53.57524013,92.05,1.718144422
754,53.68196371,90.94,1.694051292
755,56.0298826,92.09,1.643587238
756,46.10458911,92.11,1.997848843
757,61.04589114,93.02,1.523771678
758,38.84738527,87.28,2.246740659
759,51.97438634,92.74,1.784340452
760,57.20384205,92.4,1.615276119
761,50.58697972,91.55,1.809754219
762,56.0298826,92.96,1.659114667
763,40.98185699,90.93,2.218786719
764,30.09605123,87.35,2.902374113
765,56.56350053,91.61,1.61959566
766,32.5506937,88.97,2.733275082
767,53.89541089,90.72,1.683260198
768,54.32230523,91.19,1.678684283
769,51.22732124,91.8,1.7920125
770,49.51974386,89.71,1.811600647
771,31.91035219,91.68,2.873048829
772,60.51227321,93.49,1.544975838
773,19.95731057,80.76,4.046637433
